,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Shrooms,Nicotine,Semer,VSA
10,25-34,Female,University degree,UK,White,26.0,45.0,38.0,38.0,53.0,0.19268,0.07987,CL5,CL0,CL1,CL0,CL6,CL2,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL1
11,45-54,Male,"Some college or university, no certificate or degree",Other,White,24.0,40.0,47.0,30.0,38.0,0.52975,1.2247,CL5,CL1,CL0,CL0,CL6,CL4,CL5,CL2,CL0,CL3,CL0,CL0,CL0,CL1,CL0,CL2,CL6,CL0,CL0
12,55-64,Female,University degree,UK,White,56.0,41.0,49.0,32.0,36.0,1.29221,0.07987,CL5,CL1,CL0,CL4,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
13,55-64,Female,Professional certificate/ diploma,Canada,White,28.0,45.0,46.0,49.0,59.0,-0.71126,-0.84637,CL1,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
14,55-64,Female,Professional certificate/ diploma,UK,White,27.0,49.0,49.0,39.0,52.0,1.29221,0.7654,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
15,55-64,Male,University degree,UK,White,19.0,29.0,35.0,36.0,49.0,-0.71126,-0.52593,CL5,CL2,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
16,35-44,Female,"Some college or university, no certificate or degree",UK,White,22.0,34.0,34.0,45.0,47.0,-0.21712,-2.07848,CL6,CL0,CL0,CL1,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
17,45-54,Male,Left school at 16 years ,UK,White,41.0,31.0,44.0,40.0,31.0,-1.37983,-0.84637,CL6,CL1,CL1,CL0,CL6,CL6,CL4,CL1,CL0,CL1,CL0,CL2,CL0,CL1,CL0,CL1,CL6,CL0,CL0
18,55-64,Male,University degree,Australia,White,49.0,39.0,45.0,30.0,30.0,-0.71126,-0.21575,CL6,CL2,CL0,CL2,CL6,CL3,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL1,CL0,CL1,CL0,CL0,CL0
19,35-44,Male,Professional certificate/ diploma,UK,White,32.0,27.0,29.0,30.0,47.0,-1.37983,-2.07848,CL4,CL1,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL6,CL0,CL1,CL0,CL0
20,45-54,Male,Professional certificate/ diploma,UK,White,28.0,45.0,51.0,53.0,33.0,0.19268,-0.21575,CL6,CL1,CL1,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
21,65+,Male,Left school before 16 years,UK,White,25.0,43.0,38.0,39.0,53.0,-0.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
22,45-54,Male,University degree,UK,White,40.0,33.0,40.0,50.0,35.0,-0.71126,0.07987,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
23,45-54,Male,Left school at 16 years ,UK,White,51.0,16.0,37.0,45.0,34.0,-1.37983,-1.54858,CL6,CL2,CL1,CL5,CL6,CL2,CL6,CL2,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
24,55-64,Male,University degree,UK,White,34.0,44.0,54.0,48.0,51.0,-0.21712,-0.52593,CL5,CL1,CL1,CL1,CL5,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
25,45-54,Male,"Some college or university, no certificate or degree",UK,White,28.0,37.0,37.0,49.0,42.0,-0.21712,0.40148,CL5,CL1,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL2,CL1,CL0,CL0
26,55-64,Female,Left school at 18 years ,Canada,White,35.0,28.0,24.0,38.0,46.0,0.19268,-1.54858,CL6,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
27,35-44,Male,University degree,UK,White,41.0,31.0,46.0,43.0,25.0,1.86203,0.40148,CL6,CL1,CL1,CL2,CL6,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL3,CL2,CL0,CL0
28,35-44,Female,Masters degree,UK,White,36.0,29.0,41.0,45.0,50.0,0.19268,-0.52593,CL6,CL0,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
29,45-54,Male,Doctorate degree,UK,White,24.0,51.0,52.0,49.0,53.0,-0.21712,-0.52593,CL0,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
30,45-54,Male,Left school at 16 years ,UK,White,39.0,34.0,37.0,33.0,37.0,-1.37983,0.07987,CL6,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL1,CL1,CL1,CL1,CL2,CL0,CL0
31,35-44,Female,Left school at 16 years ,Other,White,25.0,34.0,47.0,39.0,42.0,-1.37983,-0.84637,CL3,CL0,CL0,CL2,CL3,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
32,35-44,Male,University degree,UK,White,28.0,31.0,46.0,46.0,42.0,0.19268,-0.84637,CL6,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
33,18-24,Male,University degree,UK,White,40.0,38.0,48.0,51.0,41.0,-0.71126,-1.54858,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
34,35-44,Male,University degree,USA,Other,46.0,44.0,52.0,23.0,36.0,0.52975,1.92173,CL4,CL2,CL1,CL1,CL5,CL2,CL5,CL2,CL1,CL1,CL1,CL2,CL1,CL1,CL1,CL1,CL5,CL0,CL1
35,65+,Male,Left school before 16 years,UK,White,33.0,34.0,28.0,41.0,36.0,0.52975,-1.54858,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
36,35-44,Male,University degree,UK,White,33.0,36.0,45.0,43.0,30.0,-0.21712,-0.21575,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
37,55-64,Male,Left school before 16 years,USA,White,39.0,42.0,53.0,44.0,37.0,0.52975,-0.52593,CL6,CL1,CL2,CL1,CL6,CL3,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
38,45-54,Male,University degree,UK,White,22.0,48.0,48.0,43.0,47.0,-0.21712,-0.84637,CL6,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
39,65+,Female,Professional certificate/ diploma,UK,White,33.0,33.0,38.0,38.0,45.0,-1.37983,-0.21575,CL6,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL4,CL0,CL1,CL0,CL0
40,35-44,Male,Masters degree,UK,White,36.0,37.0,46.0,29.0,47.0,-0.71126,0.07987,CL5,CL1,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
41,35-44,Female,University degree,UK,White,44.0,40.0,53.0,54.0,39.0,-0.21712,-0.21575,CL4,CL0,CL0,CL0,CL4,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
42,35-44,Male,Masters degree,UK,White,34.0,33.0,37.0,43.0,37.0,-0.21712,-0.52593,CL6,CL0,CL3,CL5,CL6,CL2,CL4,CL6,CL0,CL4,CL0,CL2,CL2,CL0,CL0,CL0,CL1,CL0,CL0
43,35-44,Male,Professional certificate/ diploma,UK,White,27.0,36.0,44.0,42.0,34.0,-0.21712,-0.21575,CL6,CL2,CL2,CL0,CL6,CL3,CL6,CL3,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL6,CL0,CL0
44,25-34,Male,University degree,UK,Other,26.0,49.0,49.0,51.0,48.0,-0.21712,0.07987,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
45,25-34,Female,University degree,UK,White,31.0,43.0,54.0,49.0,52.0,-1.37983,-2.07848,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
46,45-54,Female,"Some college or university, no certificate or degree",Canada,White,39.0,44.0,38.0,45.0,51.0,-0.71126,-0.84637,CL3,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL1
47,45-54,Male,Masters degree,UK,White,19.0,45.0,48.0,49.0,49.0,-2.55524,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
48,45-54,Male,Left school at 16 years ,UK,White,37.0,34.0,44.0,42.0,37.0,0.19268,-0.84637,CL6,CL1,CL1,CL0,CL6,CL5,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
49,25-34,Female,Masters degree,UK,Mixed-White/Black,44.0,36.0,32.0,37.0,44.0,0.52975,1.2247,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
50,35-44,Male,Masters degree,UK,White,46.0,39.0,45.0,35.0,42.0,-0.71126,-0.84637,CL6,CL1,CL2,CL1,CL6,CL3,CL6,CL2,CL0,CL3,CL0,CL0,CL2,CL1,CL0,CL3,CL6,CL0,CL0
51,45-54,Male,Professional certificate/ diploma,Canada,White,47.0,46.0,42.0,37.0,27.0,1.86203,1.92173,CL2,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
52,55-64,Female,University degree,UK,White,34.0,40.0,36.0,45.0,36.0,0.52975,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
53,45-54,Male,Masters degree,UK,White,23.0,39.0,53.0,45.0,44.0,-0.21712,-0.21575,CL5,CL1,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
54,55-64,Male,Left school at 16 years ,UK,White,36.0,47.0,42.0,36.0,33.0,1.29221,1.2247,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL6,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL1,CL1,CL0,CL0
55,55-64,Female,Professional certificate/ diploma,UK,White,36.0,35.0,38.0,40.0,39.0,-1.37983,-2.07848,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
56,35-44,Female,"Some college or university, no certificate or degree",UK,White,36.0,40.0,34.0,43.0,44.0,-1.37983,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
57,25-34,Female,University degree,UK,White,30.0,44.0,32.0,45.0,47.0,-0.71126,-0.52593,CL1,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
58,45-54,Male,Left school at 18 years ,UK,White,38.0,44.0,46.0,40.0,39.0,1.86203,1.2247,CL5,CL1,CL1,CL0,CL6,CL5,CL5,CL5,CL2,CL3,CL1,CL3,CL3,CL1,CL0,CL2,CL6,CL0,CL1
59,45-54,Male,University degree,UK,White,31.0,31.0,37.0,32.0,41.0,-1.37983,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
60,25-34,Female,Doctorate degree,UK,White,49.0,42.0,48.0,41.0,40.0,-1.37983,0.07987,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
61,45-54,Male,Masters degree,UK,Asian,18.0,50.0,54.0,44.0,50.0,-1.37983,-1.18084,CL5,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1
62,25-34,Male,University degree,UK,White,30.0,30.0,33.0,34.0,45.0,-1.37983,-1.18084,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
63,45-54,Male,University degree,UK,White,46.0,38.0,41.0,39.0,42.0,-1.37983,-1.18084,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
64,45-54,Male,Doctorate degree,UK,White,22.0,43.0,53.0,40.0,48.0,-1.37983,-0.52593,CL6,CL1,CL0,CL1,CL6,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
65,35-44,Male,"Some college or university, no certificate or degree",UK,White,43.0,43.0,40.0,50.0,46.0,0.52975,-0.21575,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
66,45-54,Male,Left school at 16 years ,UK,White,26.0,35.0,38.0,51.0,45.0,-0.71126,-1.18084,CL4,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
67,25-34,Male,Masters degree,UK,White,32.0,38.0,53.0,37.0,41.0,0.88113,-0.21575,CL5,CL1,CL1,CL0,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL5,CL0,CL0
68,35-44,Male,Professional certificate/ diploma,Other,White,27.0,40.0,48.0,42.0,40.0,-0.21712,0.07987,CL5,CL1,CL1,CL0,CL5,CL2,CL6,CL3,CL0,CL2,CL0,CL1,CL1,CL1,CL0,CL1,CL1,CL0,CL0
69,45-54,Female,Left school at 16 years ,UK,White,35.0,35.0,34.0,45.0,42.0,-1.37983,-0.84637,CL6,CL0,CL0,CL6,CL1,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
70,25-34,Male,"Some college or university, no certificate or degree",UK,White,32.0,38.0,47.0,30.0,40.0,0.52975,0.7654,CL6,CL2,CL1,CL0,CL4,CL2,CL6,CL3,CL0,CL3,CL0,CL2,CL2,CL2,CL0,CL0,CL2,CL0,CL1
71,45-54,Female,Left school at 18 years ,Canada,White,31.0,47.0,44.0,50.0,43.0,-2.55524,-0.84637,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
72,45-54,Male,Left school at 18 years ,UK,White,22.0,46.0,46.0,46.0,48.0,0.19268,0.40148,CL6,CL1,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
73,45-54,Male,Professional certificate/ diploma,UK,White,29.0,36.0,44.0,45.0,49.0,-0.71126,-0.21575,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
74,65+,Female,Left school at 16 years ,UK,White,25.0,27.0,26.0,33.0,44.0,0.52975,-2.07848,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
75,25-34,Male,University degree,UK,White,34.0,41.0,35.0,38.0,39.0,0.52975,-0.21575,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
76,45-54,Female,Left school at 17 years,Canada,White,32.0,35.0,35.0,46.0,46.0,-2.55524,-2.07848,CL4,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
77,35-44,Male,University degree,UK,White,37.0,28.0,42.0,35.0,39.0,-0.21712,-2.07848,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL0
78,35-44,Male,"Some college or university, no certificate or degree",UK,White,28.0,34.0,31.0,32.0,25.0,-2.55524,-1.18084,CL6,CL0,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL1
79,35-44,Male,Professional certificate/ diploma,UK,White,32.0,34.0,32.0,50.0,37.0,-0.21712,-0.21575,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
80,65+,Female,Doctorate degree,Canada,White,36.0,42.0,49.0,42.0,51.0,-0.21712,-0.21575,CL6,CL0,CL0,CL3,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
81,55-64,Female,University degree,UK,White,28.0,31.0,46.0,37.0,41.0,0.88113,0.40148,CL5,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL0,CL1,CL1,CL1,CL1,CL0,CL0
82,55-64,Male,Masters degree,Canada,White,19.0,49.0,39.0,47.0,51.0,-0.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
83,55-64,Female,Left school at 17 years,UK,Mixed-White/Black,46.0,33.0,38.0,52.0,29.0,0.19268,-0.21575,CL3,CL0,CL0,CL5,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
84,45-54,Male,Left school at 16 years ,UK,White,32.0,41.0,44.0,41.0,41.0,-1.37983,0.07987,CL5,CL0,CL0,CL0,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
85,25-34,Female,Left school at 18 years ,UK,White,31.0,40.0,35.0,44.0,45.0,0.52975,1.2247,CL3,CL0,CL1,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
86,35-44,Male,"Some college or university, no certificate or degree",UK,White,43.0,39.0,38.0,44.0,41.0,-0.21712,0.40148,CL5,CL0,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
87,55-64,Male,Left school at 16 years ,UK,White,27.0,41.0,43.0,41.0,44.0,-0.71126,0.40148,CL5,CL0,CL0,CL0,CL5,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
88,35-44,Female,"Some college or university, no certificate or degree",UK,White,39.0,26.0,36.0,38.0,38.0,-1.37983,-2.07848,CL3,CL0,CL1,CL1,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
89,35-44,Female,Masters degree,UK,White,45.0,36.0,48.0,39.0,40.0,0.52975,-0.21575,CL5,CL1,CL1,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL0,CL0,CL1
90,35-44,Female,Masters degree,UK,White,49.0,42.0,51.0,45.0,36.0,-1.37983,0.07987,CL6,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
91,35-44,Male,Professional certificate/ diploma,Canada,White,40.0,37.0,51.0,45.0,47.0,0.88113,0.7654,CL2,CL0,CL0,CL3,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
92,25-34,Male,Left school at 18 years ,UK,White,22.0,38.0,43.0,45.0,42.0,-0.71126,-0.84637,CL4,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
93,65+,Female,Left school at 16 years ,UK,White,34.0,34.0,39.0,48.0,45.0,-1.37983,-1.54858,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
94,45-54,Male,Masters degree,UK,White,29.0,36.0,39.0,47.0,41.0,-1.37983,-2.07848,CL5,CL0,CL0,CL3,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
95,45-54,Male,Masters degree,UK,White,31.0,42.0,53.0,32.0,49.0,0.52975,-0.21575,CL6,CL1,CL1,CL1,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
96,35-44,Female,University degree,Canada,White,37.0,32.0,48.0,42.0,47.0,-1.37983,-1.54858,CL4,CL1,CL0,CL0,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
97,45-54,Female,Masters degree,UK,White,31.0,44.0,44.0,39.0,33.0,0.19268,-0.84637,CL5,CL1,CL0,CL1,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
98,35-44,Male,Doctorate degree,Canada,White,25.0,37.0,46.0,39.0,48.0,-0.21712,1.2247,CL4,CL1,CL0,CL0,CL6,CL1,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
99,25-34,Female,University degree,UK,White,29.0,58.0,51.0,49.0,52.0,0.52975,0.40148,CL6,CL2,CL0,CL3,CL6,CL3,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
100,25-34,Male,Masters degree,Other,White,26.0,55.0,50.0,33.0,39.0,-0.21712,1.2247,CL6,CL3,CL3,CL4,CL6,CL6,CL5,CL3,CL0,CL3,CL0,CL3,CL2,CL2,CL0,CL3,CL0,CL0,CL0
101,45-54,Female,Left school at 16 years ,Australia,White,30.0,43.0,34.0,42.0,48.0,-1.37983,-0.84637,CL4,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
102,45-54,Male,Left school at 18 years ,UK,White,30.0,48.0,55.0,34.0,42.0,-0.71126,1.2247,CL6,CL1,CL3,CL4,CL6,CL1,CL4,CL4,CL1,CL2,CL2,CL1,CL1,CL2,CL0,CL2,CL1,CL0,CL0
103,45-54,Female,Professional certificate/ diploma,Canada,White,36.0,44.0,44.0,41.0,43.0,0.19268,0.7654,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
104,25-34,Female,"Some college or university, no certificate or degree",Canada,White,27.0,41.0,45.0,50.0,46.0,-0.71126,0.07987,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL2,CL6,CL0,CL0
